Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
,,10.3760/cma.j.issn.1674-635X.2011.04.002,False,,,,,False,,
Nutrition in Renal Transplantation,,10.1016/s0272-6386(85)80103-7,True,,1985,,American Journal of Kidney Diseases,False,,"Whittier, Frederick C. and Evans, Dan H. and Dutton, Sue and Ross, Gilbert and Luger, Alan and Nolph, Karl D. and Bauer, John H. and Brooks, Charles S. and Moore, Harold"
A Novel and Personalized Rehabilitation Program for Obese Kidney Transplant Recipients,,10.1016/j.transproceed.2014.05.085,True,,2014,,Transplantation Proceedings,False,,"Tzvetanov, I. and West-Thielke, P. and D’Amico, G. and Johnsen, M. and Ladik, A. and Hachaj, G. and Grazman, M. and Heller, R.U. and Fernhall, B. and Daviglus, M.L. and Solaro, R.J. and Oberholzer, J. and Gallon, L. and Benedetti, E."
Effects of Targeted Interventions on Lifestyle Modifications of Chronic Kidney Disease Patients,,10.1177/0193945913486202,True,,2013,,Western Journal of Nursing Research,False,,"Teng, Hsiu-Lan and Yen, Miaofen and Fetzer, Susan and Sung, Junne-Ming and Hung, Shih-Yuan"
Continuous Ambulatory Peritoneal Dialysis Patients Are Unable to Increase Dietary Intake to Recommended Levels,,10.1053/j.jrn.2007.02.003,True,,2007,,Journal of Renal Nutrition,False,,"Sutton, Debbie and Higgins, Bernie and Stevens, Judith M."
Simple Dietary Interventions Reduce the Risk Factors of Atherosclerosis in Renal Graft Recipients,,10.1016/j.jrn.2005.04.005,True,,2005,,Journal of Renal Nutrition,False,,"Stachowska, Ewa and Wesolowska, Teresa and Safranow, Krzysztof and Domanski, Leszek and Rac, Monika and Dziedziejko, Violetta and Ciechanowski, Kazimierz and Chlubek, Dariusz"
Elements of Mediterranean diet improve oxidative status in blood of kidney graft recipients,,10.1079/bjn20051374,True,,2005,,British Journal of Nutrition,False,,"Stachowska, Ewa and Wesołowska, Teresa and Olszewska, Maria and Safranow, Krzysztof and Millo, Barbara and Domański, Leszek and Jakubowska, Katarzyna and Ciechanowski, Kazimierz and Chlubek, Dariusz"
The Use of Neural Networks in Evaluation of the Direction and Dynamics of Changes in Lipid Parameters in Kidney Transplant Patients on the Mediterranean Diet,,10.1053/j.jrn.2006.01.003,True,,2006,,Journal of Renal Nutrition,False,,"Stachowska, Ewa and Gutowska, Izabela and Strzelczak, Agnieszka and Wesołowska, Teresa and Safranow, Krzysztof and Chlubek, Dariusz"
"CKD NUTRITION, INFLAMMATION AND OXIDATIVE STRESS",,10.1093/ndt/gfu168,True,,2014,,Nephrology Dialysis Transplantation,False,,"Poesen, R. and Viaene, L. and Bammens, B. and Claes, K. and Evenepoel, P. and Meijers, B. and Bozic, M. and De Pablo, C. and Alvarez, A. and Sanchez-Nino, M. D. and Ortiz, A. and Fernandez, E. and Valdivielso, J. M. and Speer, T. and Zewinger, S. and Holy, E. W. and Stahli, B. E. and Triem, S. and Cvija, H. and Rohrer, L. and Seiler, S. and Heine, G. H. and Jankowski, V. and Jankowski, J. and Camici, G. and Akhmedov, A. and Luscher, T. F. and Tanner, F. C. and Fliser, D. and Isoyama, N. and Leurs, P. and Qureshi, A. R. and Anderstam, B. and Heimburger, O. and Barany, P. and Stenvinkel, P. and Lindholm, B. and Bolasco, P. and Palleschi, S. and Rossi, B. and Atti, M. and Amore, A. and Coppo, R. and Loiacono, E. and Ghezzi, P. M. and Palladino, G. and Caiazzo, M. and Di Napoli, A. and Tazza, L. and Franco, F. and Chicca, S. and Bossola, M. and Di Lallo, D. and Michelozzi, P. and Davoli, M. and Lucisano, S. and Arena, A. and Lupica, R. and Cernaro, V. and Trimboli, D. and Aloisi, C. and Montalto, G. and Santoro, D. and Buemi, M. and Burtey, S. and Poitevin, S. and Darbousset, R. and Gondouin, B. and Dubois, C. and Erkmen Uyar, M. and Bal, Z. and Bayraktar, N. and Gurlek Demirci, B. and Sayin, B. and Sezer, S. and Rogacev, K. and Zawada, A. and Emrich, I. and Seiler, S. and Bohm, M. and Fliser, D. and Woollard, K. and Heine, G. and Gbandjaba, N. Y. and Ghalim, N. and Saile, R. and Khalil, A. and Fujii, H. and Yamashita, Y. and Yonekura, Y. and Nakai, K. and Kono, K. and Goto, S. and Sugano, M. and Goto, S. and Ito, Y. and Nishi, S. and Leurs, P. and Meuwese, C. and Carrero, J. J. and Qureshi, A. R. and Anderstam, B. and Barany, P. and Heimburger, O. and Stenvinkel, P. and Lindholm, B. and Riccio, E. and Sabbatini, M. and Bellizzi, V. and Pisani, A. and Svedberg, O. and Stenvinkel, P. and Qureshi, A. R. and Barany, P. and Heimburger, O. and Leurs, P. and Isoyama, N. and Lindholm, B. and Anderstam, B. and Barreto-Silva, M. I. and Lemos, C. and Costa-Silva, F. and Mendes, R. and Bregman, R. and Barreto - Silva, M. I. and Lemos, C. and Vargas, S. and Barja-Fidalgo, T. C. and Bregman, R. and Sidoti, A. and Lusini, M. L. and Biagioli, M. and Sereni, L. and Ghezzi, P. M. and Caiazzo, M. and Palladino, G. and Kara, E. and Ahbap, E. and Basturk, T. and Koc, Y. and Sakaci, T. and Sahutoglu, T. and Sevinc, M. and Akgol, C. and Unsal, A. and Snaedal, S. and Qureshi, A. R. and Carrero, J. J. and Heimburger, O. and Stenvinkel, P. and Barany, P. and Paliouras, C. and Haviatsos, T. and Lamprianou, F. and Papagiannis, N. and Ntetskas, G. and Roufas, K. and Karvouniaris, N. and Anastasakis, E. and Moschos, N. and Alivanis, P. and Santoro, D. and Ingegneri, M. T. and Vita, G. and Pisacane, A. and Bellinghieri, G. and Savica, V. and Buemi, M. and Lucisano, S. and Kim, H. K. and Kim, S. C. and Kim, M.-G. and Jo, S.-K. and Cho, W. Y. and Altunoglu, A. and Yavuz, D. and Canoz, M. B. and Yavuz, R. and Karakas, L. A. and Bayraktar, N. and Colak, T. and Sezer, S. and Ozdemir, F. N. and Haberal, M. and Akbasli, A. C. and Keven, K. and Erbay, B. and Nebio lu, S. and Loboda, O. and Dudar, I. and Krot, V. and Alekseeva, V. and Grabulosa, C. C. and De Carvalho, J. T. G. and Manfredi, S. R. and Canziani, M. E. and Quinto, B. M. R. and Peres, A. T. and Batista, M. C. and Cendoroglo, M. and Dalboni, M. A. and Zingerman, B. and Azoulay, O. and Gamzo, Z. and Rozen-Zvi, B. and Stefan, G. and Capusa, C. and Stancu, S. and Ilyes, A. and Viasu, L. and Mircescu, G. and Yilmaz, M. I. and Solak, Y. and Saglam, M. and Cayci, T. and Acikel, C. and Unal, H. U. and Eyileten, T. and Oguz, Y. and Sari, S. and Carrero, J. J. and Stenvinkel, P. and Covic, A. and Kanbay, M. and Kim, Y. N. and Park, K. and Gwoo, S. and Shin, H. S. and Jung, Y. S. and Rim, H. and Rhew, H. Y. and Gok, M. and Kurt, Y. and Unal, H. U. and CetInkaya, H. and Karaman, M. and EyIeten, T. and Vural, A. and Yilmaz, M. I. and Oguz, Y. and Flisi Ski, M. and Brymora, A. and StrozEcki, P. and Stefa Ska, A. and Manitius, J. and Donderski, R. and Mi Kowiec-Wi Niewska, I. and Kretowicz, M. and Johnson, R. and Kami Ska, A. and Junik, R. and Siodmiak, J. and Stefa Ska, A. and Odrowaz-Sypniewska, G. and Manitius, J. and Tasic, D. and Radenkovic, S. and Kocic, G. and Wyskida, K. and Spiechowicz-Zato , U. and Rotkegel, S. and Ciepal, J. and Klein, D. and Bozentowicz-Wikarek, M. and Brzozowska, A. and Olszanecka-Glinianowicz, M. and Chudek, J. and Dimitrijevic, Z. and Cvetkovic, T. and Mitic, B. and Paunovic, K. and Paunovic, G. and Stojanovic, M. and Velickovic-Radovanovic, R. and Gliga, M. L. and Gliga, P. M. and Stoica, C. and Tarta, D. and Dogaru, G."
Evaluation of Dietetic Advice for Modification of Cardiovascular Disease Risk Factors in Renal Transplant Recipients,,10.1053/j.jrn.2010.12.002,True,,2011,,Journal of Renal Nutrition,False,,"Orazio, Linda K. and Isbel, Nicole M. and Armstrong, Kirsten A. and Tarnarskyj, Jodie and Johnson, David W. and Hale, Rachael E. and Kaisar, Mohamed and Banks, Merrilyn D. and Hickman, Ingrid J."
Mediterranean diet improves dyslipidemia and biomarkers in chronic renal failure patients,,10.1039/c0fo00032a,True,,2010,,Food &amp; Function,False,,"Mekki, Khedidja and Bouzidi-bekada, Nassima and Kaddous, Abbou and Bouchenak, Malika"
Improving Albumin Levels Among Hemodialysis Patients: A Community-Based Randomized Controlled Trial,,10.1053/j.ajkd.2006.03.046,True,,2006,,American Journal of Kidney Diseases,False,,"Leon, Janeen B. and Albert, Jeffrey M. and Gilchrist, Gina and Kushner, Irving and Lerner, Edith and Mach, Suzanne and Majerle, Angela and Porter, David and Ricanati, Edmond and Sperry, Laurine and Sullivan, Catherine and Zimmerer, Jennifer and Sehgal, Ashwini R."
Treatment of metabolic acidosis in patients with stage 3 chronic kidney disease with fruits and vegetables or oral bicarbonate reduces urine angiotensinogen and preserves glomerular filtration rate,,10.1038/ki.2014.83,True,,2014,,Kidney International,False,,"Goraya, Nimrit and Simoni, Jan and Jo, Chan-Hee and Wesson, Donald E."
A Comparison of Treating Metabolic Acidosis in CKD Stage 4 Hypertensive Kidney Disease with Fruits and Vegetables or Sodium Bicarbonate,,10.2215/CJN.02430312,True,,2013,,Clinical Journal of the American Society of Nephrology,False,,"Goraya, Nimrit and Simoni, Jan and Jo, Chan-Hee and Wesson, Donald E."
"Self-Management and Biomedical Outcomes of a Cooking, and Exercise Program for Patients with Chronic Kidney Disease",,10.1053/j.jrn.2010.03.009,True,,2011,,Journal of Renal Nutrition,False,,"Flesher, Mary and Woo, Paula and Chiu, Anthony and Charlebois, Ashley and Warburton, Darren E.R. and Leslie, Barbara"
"A Low-Iron-Available, Polyphenol-Enriched, Carbohydrate-Restricted Diet to Slow Progression of Diabetic Nephropathy",,10.2337/diabetes.52.5.1204,True,,2003,,Diabetes,False,,"Facchini, Francesco S. and Saylor, Kami L."
Renal Function Following Three Distinct Weight Loss Dietary Strategies During 2 Years of a Randomized Controlled Trial,,10.2337/dc12-1846,True,,2013,,Diabetes Care,False,,"Tirosh, Amir and Golan, Rachel and Harman-Boehm, Ilana and Henkin, Yaakov and Schwarzfuchs, Dan and Rudich, Assaf and Kovsan, Julia and Fiedler, Georg M. and Blüher, Matthias and Stumvoll, Michael and Thiery, Joachim and Stampfer, Meir J. and Shai, Iris"
Review Sessions,,10.1159/000171026,True,,2012,,Obesity Facts,False,,
The impact of nutrition intervention on quality of life in pre-dialysis chronic kidney disease patients,,10.1016/j.clnu.2008.05.002,True,,2008,,Clinical Nutrition,False,,"Campbell, Katrina Louise and Ash, Susan and Bauer, Judith Dorothea"
Randomized Controlled Trial of Nutritional Counseling on Body Composition and Dietary Intake in Severe CKD,,10.1053/j.ajkd.2007.12.015,True,,2008,,American Journal of Kidney Diseases,False,,"Campbell, Katrina L. and Ash, Susan and Davies, Peter S.W. and Bauer, Judith D."
